[2025-04-15 01:52:01] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 01:52:01] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 01:52:01] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 01:52:01] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 01:52:01] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 01:52:01] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 01:52:01] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 01:52:01] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 01:52:01] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 01:52:01] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 01:52:01] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 01:52:01] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 01:52:01] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 01:52:01] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 01:52:01] [INFO] [Component] Setting earth_dragon_Waaala_31c8cfa3-61ef-45dc-962f-22237be5bbc8 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Waaala_31c8cfa3-61ef-45dc-962f-22237be5bbc8","column":5,"row":5,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit enemy:Waaala into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting earth_dragon_Aybryb_66134af4-8902-42f4-8358-ca712d4d0d0d on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Aybryb_66134af4-8902-42f4-8358-ca712d4d0d0d","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit enemy:Aybryb into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting light_dragon_Eomo_eb478c37-e0ab-43fd-970d-fa6e1251abad on to {"spawn_region":[],"collider":"","unit":"light_dragon_Eomo_eb478c37-e0ab-43fd-970d-fa6e1251abad","column":4,"row":3,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit enemy:Eomo into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting air_dragon_Nuuvrn_3f6b3d61-b960-41d3-a5d0-111ab4faaca3 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Nuuvrn_3f6b3d61-b960-41d3-a5d0-111ab4faaca3","column":0,"row":1,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit enemy:Nuuvrn into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting water_dragon_Nyee_9bb51bdc-824b-41f6-a079-9c83f8b86222 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Nyee_9bb51bdc-824b-41f6-a079-9c83f8b86222","column":2,"row":2,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit enemy:Nyee into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting earth_dragon_Dakj_89f72cee-c7f7-4f90-9e95-46871269195c on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Dakj_89f72cee-c7f7-4f90-9e95-46871269195c","column":6,"row":1,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit user:Dakj into queue
[2025-04-15 01:52:01] [INFO] [Component] Setting air_dragon_Jyre_02d8b430-932b-4a5d-accd-8562d0839621 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Jyre_02d8b430-932b-4a5d-accd-8562d0839621","column":1,"row":6,"structure":"","height":0}.
[2025-04-15 01:52:01] [INFO] [SpeedQueue] Added unit user:Jyre into queue
[2025-04-15 01:52:01] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 01:52:01] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 01:52:01] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:52:01] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 01:52:01] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 01:52:01] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 01:52:02] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 01:52:02] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:52:02] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_54dfbe90-1f24-428d-973e-f992e80df1c3
[2025-04-15 01:52:02] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 01:52:02] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 01:52:02] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 22,48
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 12,41
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 2,35
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 3,6
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 8,8
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 13,10
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,12
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 18,13
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 20,14
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 21,14
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 22,15
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 23,16
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 23,15
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 23,13
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 22,11
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 21,8
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 19,6
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 19,4
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 18,1
[2025-04-15 01:52:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 17,0
